Data,Weekday,Hour,RO_price,RO_quantity,BG_price,SR_price,HU_price
1/2/2019,3,1,23.30833333,2498.3,24.51,69.51,59.9
1/2/2019,3,2,16.66875,2239.8,24.5,51.08,52.71
1/2/2019,3,3,14.95208333,2092,24.08,34.03,36.49
1/2/2019,3,4,7.69375,2086.3,24.06,28.49,31.24
1/2/2019,3,5,8.65625,2109.7,22.54,26.95,25.98
1/2/2019,3,6,21.41666667,2008,24.04,30.9,26.69
1/2/2019,3,7,32.45208333,2019.2,22.54,31.94,27.99
1/2/2019,3,8,47.70833333,2123.8,22.55,44.93,28.49
1/2/2019,3,9,52.57083333,2129,24.5,40.32,33.98
1/2/2019,3,10,52.57083333,2058,24.53,45.03,41.24
1/2/2019,3,11,45.57083333,2049.3,24.52,49.97,41
1/2/2019,3,12,39.8375,2044.4,24.5,52.01,45.16
1/2/2019,3,13,41.43333333,2078.2,24.5,52,44.07
1/2/2019,3,14,48.3,2066.1,24.5,46.91,41.16
1/2/2019,3,15,59.34375,2071.8,24.54,40.57,42.83
1/2/2019,3,16,63.60416667,2289.8,46.05,52.08,54.91
1/2/2019,3,17,70.625,2749.1,97.02,69.57,72.02
1/2/2019,3,18,72.90833333,2867.7,98.7,69.58,73.8
1/2/2019,3,19,72.70833333,2803.9,97.03,70.02,72.02
1/2/2019,3,20,70.98541667,2637.1,95.66,70.02,70.63
1/2/2019,3,21,70.625,2522.3,83.46,70.07,68.38
1/2/2019,3,22,70.625,2400.3,71.59,71.32,53.12
1/2/2019,3,23,68.0125,2194.1,51.16,70.09,36.86
1/2/2019,3,24,57.79375,2153.6,46.06,69.56,23.95
1/3/2019,4,1,50.68333333,2019.4,22.54,90.08,23.99
1/3/2019,4,2,43.78541667,2053.2,22.51,53.09,17.16
1/3/2019,4,3,40.91666667,2066.6,10.08,35.01,15.39
1/3/2019,4,4,40.85833333,2070.7,10.03,28.05,7.92
1/3/2019,4,5,41.94166667,2094.6,15.8,25.46,8.91
1/3/2019,4,6,47.64375,1968.5,30.5,31,22.04
1/3/2019,4,7,64.375,1952,51.54,36.99,33.4
1/3/2019,4,8,112.5,2386.2,115.53,50.97,49.1
1/3/2019,4,9,101.28125,2506.1,127.1,63.82,54.1
1/3/2019,4,10,103.2104167,2862.7,118.13,65.08,56.92
1/3/2019,4,11,97.1375,2823.9,120.43,67.05,56.87
1/3/2019,4,12,92.32916667,2829.3,102.3,67.07,60.07
1/3/2019,4,13,92.34791667,2778.9,72.17,67.23,59.07
1/3/2019,4,14,81.50833333,2689.8,70.1,66.73,55.85
1/3/2019,4,15,81.00416667,2535.9,114.65,66.96,61.08
1/3/2019,4,16,80.98541667,2459.3,120.95,71.89,65.46
1/3/2019,4,17,113.3291667,2886.5,119.73,77.69,72.69
1/3/2019,4,18,93.75,3049.7,117.32,87.72,75.04
1/3/2019,4,19,81.55208333,3032,112.74,80.53,74.83
1/3/2019,4,20,73.82291667,2893.8,101.71,76.06,73.06
1/3/2019,4,21,69.9625,2720.3,95.71,67.21,72.69
1/3/2019,4,22,65.18125,2678.7,87.75,67.05,72.69
1/3/2019,4,23,31.62291667,2509.2,60.09,64.13,70
1/3/2019,4,24,10.41666667,2311.2,51.49,61.5,59.48
1/4/2019,5,1,48.8875,2346.5,53.55,57,52.16
1/4/2019,5,2,29.15,2380,53.53,47.08,45.06
1/4/2019,5,3,25.20833333,2397.9,53.53,46.97,42.11
1/4/2019,5,4,24.75625,2390,53.55,46.91,42.05
1/4/2019,5,5,26.87291667,2307.8,53.6,46.03,43.17
1/4/2019,5,6,46.11041667,2437.5,94.68,50.98,49.04
1/4/2019,5,7,62.22916667,2659.4,140.18,62.08,66.25
1/4/2019,5,8,67.97083333,2834.8,148.28,71.91,115.78
1/4/2019,5,9,65.0625,3378.6,148.32,84.08,83.95
1/4/2019,5,10,67.19791667,3419.7,148.3,84.09,85.03
1/4/2019,5,11,66.69166667,3382.9,148.29,82.94,81.93
1/4/2019,5,12,68.4875,3417.9,148.28,75.51,95.02
1/4/2019,5,13,68.27291667,3323.1,146.15,73.94,95.04
1/4/2019,5,14,68.54166667,3231.9,144.27,72.01,83.89
1/4/2019,5,15,71.98541667,3145.2,141.86,72.03,83.37
1/4/2019,5,16,82.42291667,3290.2,125.05,73.17,83.35
1/4/2019,5,17,114.5833333,3477.1,90.1,77.07,116.64
1/4/2019,5,18,125,3727.1,70.09,82.25,96.49
1/4/2019,5,19,118.75,3681.3,70.7,83.93,83.93
1/4/2019,5,20,116.4645833,3485.9,68.53,79.8,75.98
1/4/2019,5,21,118.3333333,3427.4,61.39,74.93,72
1/4/2019,5,22,101.8395833,3432.9,53.57,72.03,67.08
1/4/2019,5,23,108.1208333,3217.6,53.55,69.97,60.03
